Faculty,Yearly Article Count,Article Count
Health Sciences,"{2024: 5184, 2023: 3865, 2022: 3307, 2021: 2353, 2020: 1525, 2019: 1051, 2018: 808, 2017: 593, 2016: 474, 2015: 255, 2014: 223, 2013: 191, 2012: 238, 2011: 210, 2010: 122, 2009: 92, 2008: 56, 2007: 22, 2006: 13, 2005: 12, 2003: 9, 2004: 12, 2002: 3, 1995: 1}",20619
Medicine,"{2024: 22580, 2023: 20624, 2022: 22167, 2021: 18670, 2020: 13476, 2019: 10698, 2018: 9700, 2017: 9525, 2016: 11003, 2015: 7527, 2014: 7261, 2013: 6743, 2012: 7413, 2011: 6299, 2010: 5683, 2009: 5425, 2008: 5550, 2007: 5778, 2006: 5224, 2005: 4959, 2003: 3078, 2004: 4287, 2002: 2096, 2001: 1691, 2000: 1292, 1999: 1297, 1998: 1068, 1997: 1009, 1996: 877, 1995: 523, 1994: 458, 1993: 344, 1992: 215, 1991: 125, 1990: 127}",224792
Health,"{2024: 97, 2023: 64, 2022: 107, 2021: 83, 2020: 46, 2019: 54, 2018: 30, 2017: 28, 2016: 24, 2015: 9, 2014: 6, 2013: 3, 2012: 6, 2011: 1, 2010: 3, 2009: 1, 2008: 2, 2007: 2, 2006: 1, 2004: 4}",571
Sports Sciences,"{2024: 285, 2023: 164, 2022: 107, 2021: 103, 2020: 80, 2019: 48, 2018: 19, 2017: 11, 2016: 4, 2015: 5, 2014: 2}",828
Science,"{2024: 5854, 2023: 6331, 2022: 5157, 2021: 4672, 2020: 4094, 2019: 3522, 2018: 3861, 2017: 2501, 2016: 2506, 2015: 1898, 2014: 1653, 2013: 1740, 2012: 1831, 2011: 1393, 2010: 896, 2009: 697, 2008: 534, 2007: 539, 2006: 477, 2005: 445, 2003: 341, 2004: 369, 2002: 225, 2001: 174, 2000: 175, 1999: 150, 1998: 126, 1997: 160, 1996: 96, 1995: 56, 1994: 50, 1993: 27, 1992: 35, 1991: 23, 1990: 25}",52633
Arts and Sciences,"{2024: 1124, 2023: 1449, 2022: 1547, 2021: 1471, 2020: 1333, 2019: 1212, 2018: 1246, 2017: 975, 2016: 941, 2015: 734, 2014: 766, 2013: 831, 2012: 868, 2011: 1062, 2010: 1226, 2009: 1038, 2008: 928, 2007: 991, 2006: 800, 2005: 702, 2003: 406, 2004: 570, 2002: 267, 2001: 165, 2000: 123, 1999: 118, 1998: 106, 1997: 105, 1996: 90, 1995: 57, 1994: 22, 1993: 15, 1992: 15, 1991: 14, 1990: 9}",23326
Sport Sciences,"{2024: 482, 2023: 396, 2022: 318, 2021: 284, 2020: 175, 2019: 97, 2018: 44, 2017: 58, 2016: 41, 2015: 15, 2014: 7, 2013: 1}",1918
Education,"{2024: 1767, 2023: 1742, 2022: 1551, 2021: 1443, 2020: 1248, 2019: 1225, 2018: 553, 2017: 843, 2016: 941, 2015: 534, 2014: 510, 2013: 525, 2012: 664, 2011: 825, 2010: 951, 2009: 651, 2008: 346, 2007: 368, 2006: 252, 2005: 177, 2003: 114, 2004: 133, 2002: 80, 2001: 57, 2000: 42, 1999: 54, 1998: 37, 1997: 43, 1996: 49, 1995: 19, 1994: 15, 1993: 9, 1992: 10, 1991: 4, 1990: 2}",17784
Dentistry,"{2024: 2843, 2023: 2443, 2022: 2192, 2021: 2042, 2020: 1661, 2019: 1635, 2018: 1416, 2017: 1388, 2016: 1507, 2015: 1293, 2014: 1146, 2013: 1057, 2012: 987, 2011: 914, 2010: 746, 2009: 793, 2008: 772, 2007: 667, 2006: 653, 2005: 561, 2003: 325, 2004: 418, 2002: 227, 2001: 164, 2000: 149, 1999: 129, 1998: 93, 1997: 108, 1996: 87, 1995: 38, 1994: 32, 1993: 36, 1992: 40, 1991: 17, 1990: 22}",28601
Veterinary,"{2024: 133, 2023: 107, 2022: 88, 2021: 91, 2020: 71, 2019: 73, 2018: 66, 2017: 61, 2016: 66, 2015: 32, 2014: 37, 2013: 31, 2012: 49, 2011: 67, 2010: 45, 2009: 52, 2008: 49, 2007: 39, 2006: 44, 2005: 40, 2003: 24, 2004: 38, 2002: 17, 2001: 3, 2000: 6, 1999: 3, 1998: 2, 1997: 4, 1996: 4}",1342
Medicine and Health Sciences,"{2024: 133, 2023: 122, 2022: 111, 2021: 126, 2020: 41, 2019: 37, 2018: 21, 2017: 12, 2016: 10, 2015: 13, 2014: 3, 2013: 5, 2012: 3, 2011: 6, 2010: 4, 2009: 6, 2008: 1, 2007: 1, 2000: 3, 1997: 1}",659
Pharmacy,"{2024: 3746, 2023: 3758, 2022: 3456, 2021: 2712, 2020: 2466, 2019: 1902, 2018: 1559, 2017: 1441, 2016: 1092, 2015: 763, 2014: 596, 2013: 773, 2012: 792, 2011: 702, 2010: 702, 2009: 594, 2008: 541, 2007: 745, 2006: 545, 2005: 535, 2003: 463, 2004: 526, 2002: 388, 2001: 299, 2000: 211, 1999: 237, 1998: 260, 1997: 235, 1996: 216, 1995: 162, 1994: 165, 1993: 114, 1992: 132, 1991: 67, 1990: 68}",32963
Physical Therapy and Rehabilitation,"{2024: 235, 2023: 224, 2022: 153, 2021: 103, 2020: 72, 2019: 18, 2018: 1, 2016: 1, 2012: 1}",808
Health Science,"{2024: 586, 2023: 411, 2022: 433, 2021: 286, 2020: 201, 2019: 146, 2018: 112, 2017: 82, 2016: 76, 2015: 70, 2014: 39, 2013: 32, 2012: 48, 2011: 46, 2010: 21, 2009: 15, 2008: 8, 2007: 2, 2006: 3, 2005: 3, 2003: 1, 2004: 1}",2622
Biology,"{2024: 125, 2023: 102, 2022: 99, 2021: 106, 2020: 79, 2019: 36, 2018: 46, 2017: 40, 2016: 25, 2015: 10, 2014: 11, 2013: 15, 2012: 11, 2011: 9, 2010: 10, 2009: 6, 2008: 6, 2007: 10, 2006: 3, 2005: 5, 2003: 6, 2004: 3, 2002: 2, 1999: 1, 1998: 1}",767
Nursing,"{2024: 956, 2023: 679, 2022: 707, 2021: 481, 2020: 407, 2019: 279, 2018: 182, 2017: 129, 2016: 91, 2015: 67, 2014: 60, 2013: 35, 2012: 35, 2011: 4, 2010: 1, 2009: 1, 2007: 1, 2005: 1}",4116
Sciences,"{2024: 1140, 2023: 1174, 2022: 823, 2021: 803, 2020: 678, 2019: 565, 2018: 640, 2017: 540, 2016: 455, 2015: 417, 2014: 377, 2013: 424, 2012: 471, 2011: 325, 2010: 223, 2009: 126, 2008: 92, 2007: 76, 2006: 74, 2005: 75, 2003: 75, 2004: 62, 2002: 74, 2001: 55, 2000: 53, 1999: 30, 1998: 46, 1997: 42, 1996: 51, 1995: 16, 1994: 19, 1993: 13, 1992: 15, 1991: 7, 1990: 3}",10059
Agriculture,"{2024: 2768, 2023: 3072, 2022: 2656, 2021: 2080, 2020: 1926, 2019: 1475, 2018: 1210, 2017: 1240, 2016: 999, 2015: 533, 2014: 492, 2013: 554, 2012: 886, 2011: 1259, 2010: 1311, 2009: 1333, 2008: 1017, 2007: 989, 2006: 1002, 2005: 738, 2003: 500, 2004: 614, 2002: 328, 2001: 176, 2000: 126, 1999: 163, 1998: 142, 1997: 160, 1996: 68, 1995: 16, 1994: 15, 1993: 6, 1992: 6, 1991: 5, 1990: 5}",29870
