Year,City,Article Count
2024,Kayseri,2265
2024,Bitlis,289
2024,Van,1152
2024,Istanbul,27786
2024,Ankara,17592
2024,Erzurum,2601
2024,Denizli,900
2024,Sanliurfa,848
2024,Tokat,681
2024,Mersin,3316
2024,Nigde,638
2024,Trabzon,1759
2024,Konya,3483
2024,Isparta,1130
2024,Izmir,6700
2024,Duzce,821
2024,Rize,953
2024,Gaziantep,1577
2024,Elazig,1719
2024,Bilecik,526
2024,Sakarya,1859
2024,Yalova,316
2024,Hatay,759
2024,Aksaray,537
2024,Afyonkarahisar,674
2024,Adana,2312
2024,Antalya,2363
2024,Kocaeli,2719
2024,Tekirdag,740
2024,Sivas,1370
2024,Karabuk,915
2024,Eskisehir,2270
2024,Aydin,1457
2024,Bursa,2208
2024,Malatya,1212
2024,Edirne,609
2024,Samsun,1757
2024,Diyarbakir,890
2024,Kastamonu,626
2024,Kahramanmaras,700
2024,Yozgat,617
2024,Manisa,949
2024,Agri,375
2024,Siirt,673
2024,Bartin,665
2024,Usak,539
2024,Amasya,375
2024,Zonguldak,624
2024,Balikesir,983
2024,Sirnak,139
2024,Adiyaman,522
2024,Mugla,844
2024,Mardin,332
2024,Ordu,483
2024,Kutahya,652
2024,Batman,464
2024,Kars,479
2024,Bayburt,292
2024,Canakkale,941
2024,Bingol,506
2024,Nevsehir,400
2024,Kilis,150
2024,Osmaniye,391
2024,Bolu,643
2024,Gumushane,380
2024,Kirsehir,435
2024,Sinop,387
2024,Giresun,511
2024,Corum,429
2024,Hakkari,150
2024,Mus,382
2024,Erzincan,697
2024,Cankiri,445
2024,Artvin,274
2024,Karaman,564
2024,Burdur,536
2024,Ardahan,170
2024,Igdir,326
2024,Tunceli,336
2024,Kirkareli,1
2023,Sivas,1521
2023,Istanbul,29758
2023,Ankara,18637
2023,Mardin,269
2023,Diyarbakir,938
2023,Adana,2321
2023,Sanliurfa,908
2023,Kahramanmaras,684
2023,Kocaeli,3070
2023,Trabzon,1759
2023,Mersin,3490
2023,Mugla,886
2023,Bilecik,518
2023,Erzurum,2699
2023,Van,1147
2023,Bitlis,264
2023,Antalya,2360
2023,Izmir,7338
2023,Ardahan,210
2023,Samsun,1844
2023,Aydin,1368
2023,Konya,3512
2023,Kutahya,656
2023,Kastamonu,720
2023,Corum,529
2023,Erzincan,732
2023,Manisa,1023
2023,Usak,509
2023,Edirne,655
2023,Tekirdag,772
2023,Afyonkarahisar,683
2023,Bartin,653
2023,Yozgat,631
2023,Bursa,2340
2023,Eskisehir,2583
2023,Aksaray,577
2023,Balikesir,1000
2023,Tunceli,302
2023,Malatya,1342
2023,Elazig,1830
2023,Kars,559
2023,Hakkari,152
2023,Canakkale,901
2023,Nigde,602
2023,Sirnak,192
2023,Amasya,383
2023,Duzce,927
2023,Sakarya,1768
2023,Rize,775
2023,Bolu,722
2023,Gaziantep,1587
2023,Kirsehir,496
2023,Tokat,735
2023,Kayseri,2449
2023,Bayburt,241
2023,Karabuk,977
2023,Denizli,982
2023,Giresun,571
2023,Gumushane,325
2023,Mus,442
2023,Agri,370
2023,Zonguldak,680
2023,Hatay,869
2023,Siirt,645
2023,Kilis,155
2023,Igdir,432
2023,Isparta,1324
2023,Adiyaman,666
2023,Ordu,507
2023,Karaman,676
2023,Cankiri,457
2023,Batman,403
2023,Burdur,563
2023,Bingol,560
2023,Osmaniye,465
2023,Nevsehir,405
2023,Artvin,261
2023,Yalova,368
2023,Sinop,410
2022,Ankara,17668
2022,Istanbul,26629
2022,Edirne,655
2022,Konya,3123
2022,Nigde,581
2022,Van,1211
2022,Kocaeli,2569
2022,Mardin,240
2022,Eskisehir,2197
2022,Izmir,6753
2022,Mersin,2818
2022,Mugla,806
2022,Canakkale,843
2022,Agri,358
2022,Malatya,1365
2022,Bayburt,237
2022,Manisa,915
2022,Balikesir,818
2022,Adana,2185
2022,Gaziantep,1348
2022,Erzurum,2307
2022,Bartin,539
2022,Kayseri,2256
2022,Bursa,2132
