Year;City;Article_Count
1932;Istanbul;1
1935;Ankara;1
1935;Istanbul;1
1937;Istanbul;1
1939;Istanbul;3
1940;Istanbul;2
1943;Istanbul;2
1945;Istanbul;2
1946;Istanbul;5
1947;Ankara;1
1947;Istanbul;3
1948;Istanbul;2
1949;Ankara;1
1949;Istanbul;3
1950;Ankara;2
1951;Ankara;2
1951;Istanbul;4
1952;Agri;1
1952;Ankara;3
1952;Istanbul;7
1953;Adana;1
1953;Agri;2
1953;Ankara;3
1953;Istanbul;3
1954;Ankara;1
1954;Istanbul;5
1955;Ankara;2
1955;Bursa;1
1955;Istanbul;6
1956;Ankara;3
1956;Istanbul;6
1957;Ankara;2
1957;Istanbul;10
1958;Ankara;4
1958;Istanbul;6
1959;Ankara;3
1959;Istanbul;10
1960;Ankara;6
1960;Erzurum;1
1960;Istanbul;10
1960;Izmir;1
1961;Agri;1
1961;Ankara;3
1961;Istanbul;6
1962;Agri;1
1962;Ankara;8
1962;Istanbul;9
1963;Agri;1
1963;Ankara;7
1963;Istanbul;9
1963;Izmir;2
1964;Ankara;14
1964;Istanbul;9
1964;Izmir;1
1965;Ankara;18
1965;Istanbul;12
1965;Izmir;1
1966;Ankara;17
1966;Istanbul;13
1966;Izmir;2
1967;Agri;1
1967;Ankara;20
1967;Istanbul;7
1967;Izmir;1
1968;Ankara;24
1968;Erzurum;1
1968;Istanbul;10
1968;Izmir;3
1969;Aksaray;1
1969;Ankara;40
1969;Erzurum;1
1969;Istanbul;9
1970;Ankara;65
1970;Eskisehir;1
1970;Istanbul;17
1970;Izmir;4
1970;Trabzon;1
1971;Agri;1
1971;Ankara;56
1971;Erzurum;1
1971;Istanbul;20
1971;Izmir;2
1971;Trabzon;1
1972;Ankara;64
1972;Istanbul;22
1972;Izmir;5
1972;Van;1
1973;Ankara;81
1973;Istanbul;24
1973;Izmir;6
1973;Trabzon;1
1974;Agri;1
1974;Ankara;86
1974;Istanbul;29
1974;Izmir;3
1974;Trabzon;4
1975;Ankara;91
1975;Bursa;1
1975;Gaziantep;2
